ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total Civiles y Combatientes	Total de Víctimas del Caso	Tipo de Armas	Tipo de Evento	Total Civiles y Combatientes Heridos	Latitud	Longitud
445350		1989	03	19	05361	ITUANGO	ANTIOQUIA	NORTE DE ANTIOQUIA	SIN INFORMACIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.17162903	-75.76467317
445351		1989	04	22	19585	PURACE	CAUCA	MACIZO COLOMBIANO	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	2.342644047	-76.49563894
445352		1989	08	25	05887	YARUMAL	ANTIOQUIA	NORTE DE ANTIOQUIA	SIN INFORMACIÓN	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.963872352	-75.41883314
445353		1989	12	01	41770	SUAZA	HUILA	SUR DEL HUILA	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	1.97584609	-75.7950558
294129		1990	01	01	68755	SOCORRO	SANTANDER	PROVINCIA COMUNERA	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	6.463855516	-73.26119642
294130		1990	01	01	05837	TURBO	ANTIOQUIA	URABA	ATENTADO	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	8.13651228	-76.55045893
445045	CR040229	1990	10	20	44420	LA JAGUA DEL PILAR	LA GUAJIRA	SERRANIA DEL PERIJA	ATENTADO	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			9	2	11	11	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	10.51021405	-73.07167902
445354		1990	01	06	05893	YONDO	ANTIOQUIA	MAGDALENA MEDIO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	1	1	ND	SIN INFORMACIÓN	0	7.003940734	-73.91245795
445355		1990	01	21	54405	LOS PATIOS	NORTE DE SANTANDER	AREA METROPOLITANA DE CUCUTA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.833256289	-72.50571256
445356		1990	04	24	05250	EL BAGRE	ANTIOQUIA	BAJO CAUCA ANTIOQUEÑO	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.597521794	-74.79909729
