ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Grupo Armado 1	Descripción Grupo Armado 1	Grupo Armado 2	Descripción Grupo Armado 2	Grupo Armado 3	Descripción Grupo Armado 3	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Grupo al que Pertenecen los Capturados	Capturados	Escudo Humano	Lesionados Combatientes	Militares	Policías	Otras Fuerzas Armadas Estatales	Agentes del Estado Sin Información	Total Agentes del Estado	Guerrilleros	Paramilitares	Grupos Posdesmovilización	Combatientes Sin Información	Otros Grupos Armados Organizados	Total Combatientes de Grupos Armados Organizados	Total Combatientes	Personas Sin Información	Total Civiles	Ventaja Militar	Total de Víctimas del Caso	Latitud	Longitud
34708	CR018403	1990	04	07	86749	SIBUNDOY	PUTUMAYO	ALTO PUTUMAYO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	0	0	3	0	0	3	0	0	0	0	0	0	3	0	2	GRUPOS ARMADOS ORGANIZADOS	5	1.200115733	-76.91748216
34709	CR003053	1990	04	07	86755	SAN FRANCISCO	PUTUMAYO	ALTO PUTUMAYO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	1	0				0	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	1.174218321	-76.87923491
34710	CR003141	1990	04	09	54670	SAN CALIXTO	NORTE DE SANTANDER	CATATUMBO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	1	0	0				0	0	8	0	6	0	0	6	8	0	0	0	0	8	14	0	0	GRUPOS ARMADOS ORGANIZADOS	14	8.40015189	-73.20605269
34711	CR003054	1990	04	20	19256	EL TAMBO	CAUCA	NORTE DEL CAUCA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	1	1	0				0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	1	2.45137136	-76.81077225
34712	CR003055	1990	06	05	70230	CHALAN	SUCRE	MONTES DE MARIA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	7	0	0				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	9.545351624	-75.31269631
34713	CR018436	1990	06	29	23855	VALENCIA	CORDOBA	URABA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	GRUPOS ARMADOS ORGANIZADOS	0	8.255016584	-76.15071869
34714	CR003056	1990	09	13	85125	HATO COROZAL	CASANARE	LLANOS ORIENTALES	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0		ARENGAS		0	0	3	0	2	0	0	2	0	0	0	0	0	0	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	6.156172443	-71.76492254
34716	CR003062	1990	12	24	05649	SAN CARLOS	ANTIOQUIA	ORIENTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	0	0	0				0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	GRUPOS ARMADOS ORGANIZADOS	2	6.187991569	-74.98795256
34717	CR003063	1990	12	27	20750	SAN DIEGO	CESAR	SERRANIA DEL PERIJA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	2	0	0				0	0	6	0	1	0	0	1	4	0	0	0	0	4	5	0	3	GRUPOS ARMADOS ORGANIZADOS	8	10.24429187	-73.14473008
34718		1990	12	30	15135	CAMPOHERMOSO	BOYACA	ORIENTE DE BOYACA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	0	0	0				0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	GRUPOS ARMADOS ORGANIZADOS	4	5.031660681	-73.10416792
