ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
359684		0000	00	00	54874	VILLA DEL ROSARIO	NORTE DE SANTANDER	AREA METROPOLITANA DE CUCUTA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	7.847487432	-72.47006734
359685		0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	6.246715564	-75.58171333
359686		0000	00	00	68720	SANTA HELENA DEL OPON	SANTANDER	MAGDALENA MEDIO	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	6.33964535	-73.61679327
359687		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359688		0000	00	00	20550	PELAYA	CESAR	SUR DE CESAR	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	8.688650964	-73.66635487
359689		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359690		0000	00	00	18756	SOLANO	CAQUETA	AMAZONIA SUR-ORIENTAL	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	0.698977525	-75.25370431
359691		0000	00	00	52540	POLICARPA	NARIÑO	PATIA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	1.62813872	-77.45926539
359692		0000	00	00	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	3.414414305	-76.52156515
359693		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359694		0000	00	00	52699	SANTACRUZ	NARIÑO	OCCIDENTE DE NARIÑO	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	1.221985919	-77.67702224
359695		0000	00	00	19142	CALOTO	CAUCA	NORTE DEL CAUCA	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	3.034070778	-76.40848704
359696	CR016127	0000	00	00	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	DESCONOCIDA	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0			1	ND	6.246715564	-75.58171333
359697	CR010059	0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	4	-72
359698	CR048387	0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	1			1	ARMA DE FUEGO	4	-72
359699		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	ASALTO	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0			1	ARMA CORTO PUNZANTE	4	-72
359700	CR011139	0000	00	00	68377	LA BELLEZA	SANTANDER	PROVINCIA DE VELEZ	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	1	1	0	0	0			1	USO DE QUEMICOS Y TIXICOS	5.936441133	-74.01216241
359701	CR037053	0000	00	00	73168	CHAPARRAL	TOLIMA	SUR DEL TOLIMA	ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	ND	3.723068376	-75.48074305
359702		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO PARAMILITAR	AUTODEFENSAS DE HERNÁN GIRALDO	0	1	0	0	1	0	0	1	1			1	ND	4	-72
